Art;Plot 1;Plot 2;Plot 3;Plot 4;Plot 5;Plot 6;Plot 7;Plot 8;Plot 9;Feuchtezahl;Reaktionzahl;Naehrstoffzahl
Achillea millefolium (aggr.);1;0;0;1;0;0;1;1;0;2;3;3
Agrostis stolonifera;0;0;0;0;0;0;1;0;0;4;4;4
Ajuga reptans;1;0;0;0;0;0;0;0;0;3;3;3
Alopecurus (c.f.) pratensis;0;0;0;0;1;1;0;0;0;3.5;3;4
Anthoxanthum odoratum;0;1;0;0;0;0;0;0;0;3;2;2
Arrhenatherum elatius;0;1;0;0;0;0;0;0;0;3;3;4
Bellis perennis;0;0;0;0;0;0;1;1;1;3;4;3
Bromus erectus;1;1;1;0;0;0;0;0;1;2;4;2
Carex caryophyllea;0;0;0;0;0;1;0;0;0;2.5;3;2
Centaurea nigrescens;0;0;0;0;0;0;1;1;0;3;3;3
Centaurea jacea;1;1;1;0;0;0;0;0;0;2.5;3;3
Clinopodium vulgare;0;0;0;1;0;1;0;0;0;2.5;4;2
Dactylis glomerata;1;1;0;1;0;0;1;1;1;3;3;4
Daucus carota;0;0;0;1;1;1;0;0;0;2.5;4;2
Erophila verna (aggr.);0;0;0;0;0;0;1;0;1;2.5;3;2
Galium anisophyllon;0;0;0;0;0;0;1;0;1;2.5;3;2
Galium album;0;0;0;0;0;0;0;0;1;3;3;4
Galium mollugo (aggr.);1;1;1;1;1;1;0;0;0;3.5;3;4
Glechoma hederacea;0;0;0;0;0;1;0;0;0;3.5;4;3
Helictotrichon pubescens;1;0;0;1;1;1;1;1;1;2.5;4;3
Holcus lanatus;0;0;0;0;1;0;0;0;0;3;3;3
Hypericum perforatum;0;0;0;0;1;0;0;0;1;3;3;3
Knautia arvensis;1;1;1;1;1;1;0;0;0;2.5;3;3
Leontodon hispidus;1;0;0;0;0;0;0;0;0;2.5;4;3
Leucanthemum vulgare;0;0;1;0;1;0;0;0;0;3;3;3
Lolium multiflorum;0;0;0;0;0;0;0;0;1;3.5;3;4
Lotus corniculatus;1;1;1;1;0;0;0;0;0;2.5;3;3
Medicago lupulina;0;1;1;0;1;0;0;0;0;2;4;3
Plantago lanceolata;1;1;1;1;0;1;1;1;1;2.5;3;3
Plantago major;0;0;0;0;0;0;1;1;1;3;3;4.5
Poa angustifola;0;0;0;1;1;0;0;0;0;2;4;3
Poa pratensis;0;0;0;1;0;0;0;0;0;3.5;3;4
Potentilla sterilis;0;0;0;1;1;1;0;0;0;3;3;3
Potentilla reptans;0;0;0;0;0;0;0;0;1;3;4;4
Primula veris;0;0;0;1;0;0;0;0;0;2.5;4;2
Ranuculus bulbosus;1;1;1;1;1;1;0;0;0;2;4;2
Ranunculus acris aggr.;1;1;0;1;1;0;1;1;0;3;3;3
Rumex obtusifolius (c.f. );0;0;0;1;0;0;0;0;0;3;3;5
Rumex acetosa;0;0;0;0;0;0;0;1;0;3;3;4
Salvia pratensis;0;0;1;0;0;0;1;1;1;2;4;2
Sanguisorba minor;1;1;1;1;0;0;0;0;0;2;4;2
Silene dioica;0;0;0;1;1;0;0;0;0;3.5;3;4
Taraxacum officinale;0;0;0;0;0;0;1;1;1;3;3;4
Thymus pulegioides;0;0;1;0;0;0;0;0;0;2;3;2
Trifolium pratense;1;1;0;1;1;1;1;1;1;3;3;3
Trisetum flavescens;0;1;1;0;0;0;0;0;0;3;3;4
Veronica chamaedrys;0;0;0;1;1;1;0;0;0;2.5;4;3
Veronica filiformis;0;0;0;0;0;0;1;1;0;3.5;3;4
Veronica persica;1;1;1;0;0;0;0;0;0;3.5;3;4
Vicia sativa;0;0;0;1;1;1;0;0;0;3;4;3
Vicia sepium;0;1;0;0;0;0;0;0;0;3;3;3
