Art;Feuchtezahl;Reaktionzahl;Naehrstoffzahl;p1;p2;p3;p4;p5;p6;p7;p8;p9;;;p11;p12;p13;p14;p15;p16;p17;p18;p19
Achillea millefolium (aggr.);2;3;3;1.062699256;0;0;17.97914419;0;0;10.4320612;11.80986123;0;;;0.5;;;5;;;12;12;
Agrostis stolonifera;4;4;4;0;0;0;0;0;0;0.869338433;0;0;;;;;;;;;1;;
Ajuga reptans;3;3;3;1.062699256;0;0;0;0;0;0;0;0;;;0.5;;;;;;;;
Alopecurus (c.f.) pratensis;3.5;3;4;0;0;0;0;66.00660066;36.46308113;0;0;0;;;;;;;30;20;;;
Anthoxanthum odoratum;3;2;2;0;4.151100042;0;0;0;0;0;0;0;;;;1;;;;;;;
Arrhenatherum elatius;3;3;4;0;2.075550021;0;0;0;0;0;0;0;;;;0.5;;;;;;;
Bellis perennis;3;4;3;0;0;0;0;0;0;5.216030601;11.80986123;0.145581598;;;;;;;;;6;12;0.1
Bromus erectus;2;4;2;4.250797024;4.151100042;14.32459533;0;0;0;0;0;29.1163197;;;2;1;5;;;;;;20
Carex caryophyllea;2.5;3;2;0;0;0;0;0;1.823154057;0;0;0;;;;;;;;1;;;
Centaurea nigrescens;3;3;3;0;0;0;0;0;0;8.693384335;8.857395926;0;;;;;;;;;10;9;
Centaurea jacea;2.5;3;3;4.250797024;4.151100042;2.291935253;0;0;0;0;0;0;;;2;1;0.8;;;;;;
Clinopodium vulgare;2.5;4;2;0;0;0;0.179791442;0;0.182315406;0;0;0;;;;;;0.05;;0.1;;;
Dactylis glomerata;3;3;4;4.250797024;2.075550021;0;0.035958288;0;0;5.216030601;4.920775514;7.279079924;;;2;0.5;;0.01;;;6;5;5
Daucus carota;2.5;4;2;0;0;0;1.797914419;0.220022002;0.182315406;0;0;0;;;;;;0.5;0.1;0.1;;;
Erophila verna (aggr.);2.5;3;2;0;0;0;0;0;0;0.008693384;0;0.01455816;;;;;;;;;0.01;;0.01
Galium anisophyllon;2.5;3;2;0;0;0;0;0;0;8.693384335;0;4.367447955;;;;;;;;;10;;3
Galium album;3;3;4;0;0;0;0;0;0;0;0;7.279079924;;;;;;;;;;;5
Galium mollugo (aggr.);3.5;3;4;3.188097768;0.083022001;4.297378599;7.191657677;11.00110011;9.115770283;0;0;0;;;1.5;0.02;1.5;2;5;5;;;
Glechoma hederacea;3.5;4;3;0;0;0;0;0;0.091157703;0;0;0;;;;;;;;0.05;;;
Helictotrichon pubescens;2.5;4;3;4.250797024;0;0;0.179791442;0.110011001;0.911577028;1.738676867;9.841551028;0.727907992;;;2;;;0.05;0.05;0.5;2;10;0.5
Holcus lanatus;3;3;3;0;0;0;0;0.220022002;0;0;0;0;;;;;;;0.1;;;;
Hypericum perforatum;3;3;3;0;0;0;0;0.220022002;0;0;0;4.367447955;;;;;;;0.1;;;;3
Knautia arvensis;2.5;3;3;8.501594049;12.45330012;2.864919066;35.95828839;1.100110011;1.823154057;0;0;0;;;4;3;1;10;0.5;1;;;
Leontodon hispidus;2.5;4;3;2.125398512;0;0;0;0;0;0;0;0;;;1;;;;;;;;
Leucanthemum vulgare;3;3;3;0;0;0.071622977;0;8.800880088;0;0;0;0;;;;;0.025;;4;;;;
Lolium multiflorum;3.5;3;4;0;0;0;0;0;0;0;0;17.46979182;;;;;;;;;;;12
